,tweet
0,Chelsea Manning faces indefinite solitary after suicide attempt following years of abuse. @SecArmy #StandWithChelsea
1,"@madgeofhonor to be told despite their severe anxiety, they cant have xanax cuz theyre a junkie, even w/no history of benzo abuse"
2,"When political & economic leaders abuse the language of #fear, they reap what they sew in life: a fear-based, anxious society? #wordsmatter"
3,@happylilsquish this is actually a severe anxiety thing seriously respect that and leave me tf alone
4,"@HawkinsUSA @BuzzFeedAndrew @BuzzFeedBen 5 stages: denial, anger, bargaining, depression, acceptance. Sounds like your bw 1&2."
5,"Listen now: Michael Mansfield & partner discussing daughter's suicide on @bbc5live @PhilWilliams: anger, guilt, life after suicide"
6,.@KurtSchlichter @AlanMaris What will this do to ppl who seek counseling for anger issues or depression that own guns?
7,"Grab a banana for breakfast! They are known as a happy fruit. Eating just one can help relieve irritable emotions, anger and or depression."
8,"I mean, a ""may cause anguish, despair and a unescapable pit of sadness in your very being"" would be better. But still."
9,"I'm really done with friends taking me for granted. Cause I'm the end, it just causes me a bunch of anxiety and anguish."
10,Me too. The Mormon church brought me only depression and mental anguish. Living in reality brought me happiness and joy.
11,"Don't spend ur energies on things that generate worry, anxiety n anguish. Only 1 thing is necessary: Lift up ur spirit n love God. - St. Pio"
12,my social anxiety is getting so bad lmao (lamenting my anguish online)
13,How can you cheat on your husband I'd vom every night from anguish and anxiety
14,I learned I suffered from anxiety and depression
15,guys i'm really sad like i could cry my anxiety is bad i wanna go home
16,Is this depression and anxiety before New Years? Cool welcome back
17,"Alright guys, so tomorrow I want to try and combat this anxiety. Any suggestions/ways of distracting myself (despite being alone)?"
18,"The worst thing about depression and anxiety is admitting it, getting help, and then having a relapse."
19,I just wish in this coming year that we would all stop turning a blind eye to depression and anxiety.
20,"I think I'm only person that didn't have a completely shitty 2016 I've had depression for 9 years, my anxiety got to an all time low >"
21,And ignore people that actually have mental illness talking about their struggle with anxiety.
22,anxiety won't leave me alone
23,you have to ask this stuff to improve as hard as it is with anxiety otherwise you just hurt yourself and get depressed
